Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail,A1-PP7,A1-PP30
LCR,,,1800,31,5400,80,18,1800,124,4800,15,4800,15,10,1800,10,2948.300049,,,0,,,0,4000,373,4000,393,20,1800,20,2948.300049,,,0,,,0,3000,2,3500,2,10,1800,10,1730.921053,1964.108911
LD,,,11700,37,11700,363,60,11000,730,10000,114,10000,564,40,7800,40,5092.5,,,0,,,0,10553.84961,50,11500,190,14,10400,264,5092.5,,,0,,,0,9990,1,12000,1,,,0,11329.47407,11409.09085
LDE,,,10132.13965,3,10200,2398,4,9650,1521,9990,55,9990,431,6,9850,412,10000,2,10000,2,,,0,9890,31,9900,2389,200,9700,2597,9200.030273,98,11400,298,10,6500,10,11400,84,11400,1685,18,9010,794,10258.4272,11069.45573
LDI,,,695,462,695,1127,,,0,699,36,500,3678,1,325,1,282.5799866,,,0,,,0,729,2009,729,7707,500,550,1300,375,20,740,20,,,0,678,1069,678,1369,,,0,695,674.8107143
LES,,,1850,150,1850,2512,1000,901,3212,1133.52002,3,1180,411,1000,901,1585,228.5700073,50,1500,150,,,0,1190,505,1190,7779,500,910,1579,228.5700073,,,0,,,0,1500,260,1430,646,1000,900,1000,900,1472.426917
LFE,,,150000,1,160000,2,13,150000,13,174416.6719,4,174000,26,2,149000,2,75255.75,,,0,,,0,180000,6,180000,7,1,150000,4,75255.75,,,0,,,0,180000,4,180000,25,2,2,2,161977.9145,166070.7035
LFL,,,478000,1,477000,5,1,250000,1,439000,11,436000,14,1,300000,3,122472.0781,,,0,,,0,380000,2,390000,11,1,250000,1,122472.0781,,,0,,,0,447000,1,446000,3,1,250000,1,478000,478000
LFP,,,3500,2,15000,2,13,3500,33,9000,22,9000,81,18,3000,18,7366.350098,,,0,,,0,9000,,,0,,,0,7366.350098,,,0,,,0,7000,,,0,,,0,3500,3500
LHP,,,4490,20,4480,4015,500,3500,4959,4327.97998,164,4570,812,160,2810,333,3600,74,3600,1025,,,0,4550,46,4500,4112,50,3900,2026,2500,20,4210,20,,,0,3780.899902,276,3830,1149,86,3600,1392,4240.047065,4584.044865
LI,,,1990,1103,2000,7518,100,1800,6824,1977.01001,73,2070,4413,120,1810,3472,1200,,,0,,,0,2142.330078,405,2500,1405,240,1960,3948,472.2900085,100,2190,100,,,0,1630.189941,200,1700,4842,1000,1620,4268,1827.024171,1841.500361
